Policy Name,Mean,Median,Upper Q,Lower Q,IQR,Upper W,Lower W,Average Ranking,Percentage Matching DingNet
egreedy-0.2,0.0015935026663898815,0.0015983741509188077,0.0016079883656083802,0.0015908988981710253,1.7089467437354962e-05,0.0016181295899865887,0.0015856783636038127,8.266666666666667,6.666666666666667%
egreedy-0.4,0.001597865221522422,0.0015977733622435054,0.0016031178606736307,0.001592296014252727,1.0821846420903686e-05,0.0016182771831550267,0.0015857269851716825,6.633333333333334,0.0%
egreedy-0.6,0.0015979727142631864,0.0015973260643969522,0.001602055360237329,0.0015927906753932946,9.264684844034277e-06,0.0016119719998167125,0.0015838115949943987,6.333333333333333,0.0%
egreedy-0.8,0.0015962436227046663,0.0015951578513391262,0.00159975914988973,0.0015898553780491406,9.903771840589397e-06,0.0016083880789508132,0.0015781162726561369,7.0,0.0%
egreedy-1.0,0.0015912456879038834,0.0015912050210412662,0.0015936465585241275,0.0015884194799087126,5.2270786154149686e-06,0.001600523041686919,0.0015856435200020563,11.833333333333334,10.0%
UCB-TN,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,3.9,0.0%
EXP3-333,0.001593575237504912,0.0015932655351410252,0.0015965061890879423,0.0015908157657560614,5.69042333188087e-06,0.0016027981734484287,0.0015823459165989703,8.833333333333334,0.0%
DUCB-0.89,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,4.9,0.0%
DUCB-0.92,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,5.9,0.0%
DUCB-0.95,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,6.9,0.0%
DUCB-0.97,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,7.9,0.0%
DUCB-0.99,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,8.9,23.333333333333332%
DUCB-0.992,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,9.9,0.0%
DUCB-0.995,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,10.9,0.0%
DUCB-0.997,0.0015948789126372315,0.0015948487997764801,0.0015950097043068699,0.00159466527731406,3.444269928098119e-07,0.0015954798162540996,0.0015943798421084751,11.9,0.0%
