Policy Name,Mean,Median,Upper Q,Lower Q,IQR,Upper W,Lower W,Average Ranking,Percentage Matching SWIM
egreedy-0.2,0.7251750725121009,0.7251870433101282,0.7427192791598489,0.7119431800076836,0.03077609915216528,0.7598258379208596,0.6847088554317761,2.966666666666667,36.666666666666664%
egreedy-0.4,0.6944298434407672,0.6929584607745686,0.7027423681611109,0.6827374321870283,0.020004935974082594,0.7218575947790921,0.6564310576186448,5.4,33.33333333333333%
egreedy-0.6,0.6562817835742428,0.6553275452178545,0.6627286981341106,0.6499992090953711,0.012729489038739494,0.6747909249849268,0.6326330544532364,8.733333333333333,53.333333333333336%
egreedy-0.8,0.6196857916328946,0.620349384175156,0.6311805830048469,0.6127509225580707,0.018429660446776186,0.6457305576173702,0.5924122753138208,11.266666666666667,16.666666666666664%
egreedy-1.0,0.580664202513893,0.5785798624341308,0.5872722335127836,0.5705611626258185,0.016711070886965107,0.6109706546227002,0.5484925370129361,14.9,3.3333333333333335%
UCB-TN,0.7714519997684808,0.7622167666324141,0.7733024965059395,0.7489285153176077,0.024373981188331784,0.7773317338827008,0.7296663825202434,1.1333333333333333,86.66666666666667%
EXP3-333,0.6649801274756081,0.6645820334999776,0.6760455353250499,0.6570213836367845,0.019024151688265323,0.6954787737292871,0.630960867662992,8.033333333333333,10.0%
DUCB-0.89,0.5937507807437565,0.5949592287929591,0.5983535036046292,0.5916599857081422,0.006693517896487089,0.6077254990686799,0.5851857137129409,14.0,6.666666666666667%
DUCB-0.92,0.6035168355308559,0.602915113968071,0.6072328270255385,0.5984554770281503,0.008777349997388217,0.617607045525843,0.5907645525438407,13.0,10.0%
DUCB-0.95,0.616169966997441,0.6170853085105918,0.6200614604411372,0.6142690055639433,0.005792454877193931,0.6257811066217829,0.6076545378797782,11.6,60.0%
DUCB-0.97,0.6330686726800832,0.6320040120459102,0.635692480808025,0.6281989261199626,0.007493554688062343,0.6381253220205039,0.6217208863462189,10.0,13.333333333333334%
DUCB-0.99,0.6781532081229675,0.6779657737222718,0.6803500151475486,0.6752383436610572,0.005111671486491387,0.6849672432501378,0.6705913508244887,7.066666666666666,23.333333333333332%
DUCB-0.992,0.6902506004043116,0.6894395052597466,0.6922257734264976,0.6861979208700295,0.006027852556468094,0.6965738649833464,0.6797210722988192,5.533333333333333,6.666666666666667%
DUCB-0.995,0.7149790845735448,0.7148863174086892,0.7176878540321252,0.7114702950328069,0.006217558999318307,0.7231461841147443,0.7061924129628024,3.8333333333333335,56.666666666666664%
DUCB-0.997,0.730632544273641,0.7308414259399904,0.732902921800909,0.7289648899700154,0.003938031830893585,0.7386771018157481,0.7236246212381574,2.533333333333333,46.666666666666664%
